Minimum cut between characters:
obrazovanie -> aviatsiia = 18
obrazovanie -> avto = 13
obrazovanie -> fiziologiia = 9
obrazovanie -> blizhnii-vostok = 9
obrazovanie -> dengi = 9
obrazovanie -> diskriminatsiia = 10
obrazovanie -> khristianstvo = 8
obrazovanie -> muzhchiny-i-zhenshchiny = 8
obrazovanie -> klassnaia-istoriia = 12
obrazovanie -> kriminal = 10
obrazovanie -> liubov = 5
obrazovanie -> sssr = 9
obrazovanie -> diplomatiia = 9
obrazovanie -> islam = 8
obrazovanie -> ssha = 8
obrazovanie -> son = 8
obrazovanie -> vselennaia = 5
obrazovanie -> kafe-i-restorany = 10
obrazovanie -> rynok = 7
obrazovanie -> debaty = 11
obrazovanie -> ekologiia = 12
obrazovanie -> liudi = 8
obrazovanie -> gender = 5
obrazovanie -> feminizm = 6
obrazovanie -> serialy = 8
obrazovanie -> urbanistika = 6
obrazovanie -> semia = 4
obrazovanie -> soznanie = 5
obrazovanie -> daish = 5
obrazovanie -> astronomiia = 3
obrazovanie -> poeziia = 4
politika -> zdorove = 38
politika -> meditsina = 38
politika -> laifkhak = 38
politika -> biologiia = 34
politika -> mozg = 35
politika -> tekhnologii = 37
politika -> iskusstvo = 35
politika -> telo = 33
politika -> detskii-vopros = 38
politika -> nauka = 22
politika -> kino = 28
politika -> fizika = 23
politika -> iazyk = 25
politika -> seks = 26
politika -> muzyka = 24
politika -> chelovek = 19
politika -> zhivotnye = 18
politika -> krasota = 23
politika -> teoriia-nauki = 18
politika -> deti = 23
politika -> otnosheniia = 16
politika -> kosmos = 19
politika -> moda = 19
politika -> sport = 15
politika -> transport = 14
politika -> khimiia = 14
politika -> zhizn = 19
politika -> alkogol = 15
politika -> temy-net = 23
politika -> avto = 13
politika -> dizain = 12
politika -> fiziologiia = 9
politika -> dengi = 9
politika -> knigi = 9
politika -> rabota = 10
politika -> khristianstvo = 8
politika -> muzhchiny-i-zhenshchiny = 8
politika -> klassnaia-istoriia = 12
politika -> etiket = 17
politika -> arkhitektura = 13
politika -> liubov = 5
politika -> son = 8
politika -> russkii-iazyk = 8
politika -> vselennaia = 5
politika -> kafe-i-restorany = 10
politika -> rynok = 7
politika -> ekologiia = 12
politika -> gender = 5
politika -> feminizm = 6
politika -> serialy = 8
politika -> urbanistika = 6
politika -> semia = 4
politika -> soznanie = 5
politika -> vysshee-obrazovanie = 6
politika -> astronomiia = 3
politika -> angliiskii-iazyk = 5
politika -> poeziia = 4
zdorove -> internet = 35
zdorove -> literatura = 30
zdorove -> kino = 28
zdorove -> ekonomika = 27
zdorove -> iazyk = 25
zdorove -> biznes = 29
zdorove -> voina = 22
zdorove -> media = 21
zdorove -> teoriia-nauki = 18
zdorove -> otnosheniia = 16
zdorove -> kosmos = 19
zdorove -> geografiia = 25
zdorove -> obshchestvo = 19
zdorove -> transport = 14
zdorove -> finansy = 13
zdorove -> chto-pochitat = 11
zdorove -> aviatsiia = 18
zdorove -> avto = 13
zdorove -> dizain = 12
zdorove -> blizhnii-vostok = 9
zdorove -> dengi = 9
zdorove -> knigi = 9
zdorove -> diskriminatsiia = 10
zdorove -> rabota = 10
zdorove -> khristianstvo = 8
zdorove -> muzhchiny-i-zhenshchiny = 8
zdorove -> kriminal = 10
zdorove -> etiket = 17
zdorove -> arkhitektura = 13
zdorove -> liubov = 5
zdorove -> sssr = 9
zdorove -> diplomatiia = 9
zdorove -> islam = 8
zdorove -> ssha = 8
zdorove -> non-fiction = 10
zdorove -> russkii-iazyk = 8
zdorove -> vselennaia = 5
zdorove -> rynok = 7
zdorove -> debaty = 11
zdorove -> evropa = 7
zdorove -> liudi = 8
zdorove -> gender = 5
zdorove -> feminizm = 6
zdorove -> serialy = 8
zdorove -> urbanistika = 6
zdorove -> semia = 4
zdorove -> soznanie = 5
zdorove -> vysshee-obrazovanie = 6
zdorove -> daish = 5
zdorove -> astronomiia = 3
zdorove -> angliiskii-iazyk = 5
zdorove -> poeziia = 4
kultura -> meditsina = 38
kultura -> biologiia = 34
kultura -> chto-budet-esli = 35
kultura -> nauka = 22
kultura -> fizika = 23
kultura -> biznes = 29
kultura -> chelovek = 19
kultura -> voina = 22
kultura -> zhivotnye = 18
kultura -> teoriia-nauki = 18
kultura -> otnosheniia = 16
kultura -> kosmos = 19
kultura -> sport = 15
kultura -> transport = 14
kultura -> khimiia = 14
kultura -> finansy = 13
kultura -> aviatsiia = 18
kultura -> avto = 13
kultura -> fiziologiia = 9
kultura -> blizhnii-vostok = 9
kultura -> dengi = 9
kultura -> knigi = 9
kultura -> rabota = 10
kultura -> muzhchiny-i-zhenshchiny = 8
kultura -> kriminal = 10
kultura -> liubov = 5
kultura -> sssr = 9
kultura -> diplomatiia = 9
kultura -> ssha = 8
kultura -> son = 8
kultura -> vselennaia = 5
kultura -> rynok = 7
kultura -> debaty = 11
kultura -> ekologiia = 12
kultura -> evropa = 7
kultura -> liudi = 8
kultura -> gender = 5
kultura -> feminizm = 6
kultura -> urbanistika = 6
kultura -> semia = 4
kultura -> soznanie = 5
kultura -> vysshee-obrazovanie = 6
kultura -> daish = 5
kultura -> astronomiia = 3
meditsina -> internet = 35
meditsina -> sotsiologiia = 37
meditsina -> iskusstvo = 34
meditsina -> kino = 28
meditsina -> ekonomika = 27
meditsina -> puteshestviia = 31
meditsina -> iazyk = 25
meditsina -> biznes = 29
meditsina -> muzyka = 24
meditsina -> voina = 22
meditsina -> moskva = 26
meditsina -> media = 21
meditsina -> teoriia-nauki = 18
meditsina -> otnosheniia = 16
meditsina -> kosmos = 19
meditsina -> geografiia = 25
meditsina -> moda = 19
meditsina -> transport = 14
meditsina -> zhizn = 19
meditsina -> finansy = 13
meditsina -> chto-pochitat = 11
meditsina -> avto = 13
meditsina -> dizain = 12
meditsina -> blizhnii-vostok = 9
meditsina -> dengi = 9
meditsina -> knigi = 9
meditsina -> diskriminatsiia = 10
meditsina -> rabota = 10
meditsina -> khristianstvo = 8
meditsina -> muzhchiny-i-zhenshchiny = 8
meditsina -> klassnaia-istoriia = 12
meditsina -> etiket = 17
meditsina -> arkhitektura = 13
meditsina -> liubov = 5
meditsina -> sssr = 9
meditsina -> diplomatiia = 9
meditsina -> islam = 8
meditsina -> ssha = 8
meditsina -> non-fiction = 10
meditsina -> russkii-iazyk = 8
meditsina -> vselennaia = 5
meditsina -> kafe-i-restorany = 10
meditsina -> rynok = 7
meditsina -> debaty = 11
meditsina -> evropa = 7
meditsina -> liudi = 8
meditsina -> gender = 5
meditsina -> feminizm = 6
meditsina -> serialy = 8
meditsina -> urbanistika = 6
meditsina -> semia = 4
meditsina -> soznanie = 5
meditsina -> vysshee-obrazovanie = 6
meditsina -> daish = 5
meditsina -> astronomiia = 3
meditsina -> angliiskii-iazyk = 5
meditsina -> poeziia = 4
laifkhak -> nauka = 22
laifkhak -> religiia = 27
laifkhak -> antropologiia = 26
laifkhak -> voina = 22
laifkhak -> teoriia-nauki = 18
laifkhak -> kosmos = 19
laifkhak -> transport = 14
laifkhak -> khimiia = 14
laifkhak -> chto-pochitat = 11
laifkhak -> avto = 13
laifkhak -> dizain = 12
laifkhak -> fiziologiia = 9
laifkhak -> blizhnii-vostok = 9
laifkhak -> knigi = 9
laifkhak -> diskriminatsiia = 10
laifkhak -> rabota = 10
laifkhak -> khristianstvo = 8
laifkhak -> muzhchiny-i-zhenshchiny = 8
laifkhak -> kriminal = 10
laifkhak -> arkhitektura = 13
laifkhak -> liubov = 5
laifkhak -> sssr = 9
laifkhak -> diplomatiia = 9
laifkhak -> islam = 8
laifkhak -> ssha = 8
laifkhak -> non-fiction = 10
laifkhak -> russkii-iazyk = 8
laifkhak -> vselennaia = 5
laifkhak -> rynok = 7
laifkhak -> debaty = 11
laifkhak -> ekologiia = 12
laifkhak -> evropa = 7
laifkhak -> liudi = 8
laifkhak -> gender = 5
laifkhak -> feminizm = 6
laifkhak -> serialy = 8
laifkhak -> urbanistika = 6
laifkhak -> semia = 4
laifkhak -> soznanie = 5
laifkhak -> daish = 5
laifkhak -> astronomiia = 3
laifkhak -> angliiskii-iazyk = 5
laifkhak -> poeziia = 4
biologiia -> internet = 34
biologiia -> literatura = 30
biologiia -> sotsiologiia = 34
biologiia -> iskusstvo = 34
biologiia -> kino = 28
biologiia -> ekonomika = 27
biologiia -> pravo = 34
biologiia -> puteshestviia = 31
biologiia -> iazyk = 25
biologiia -> biznes = 29
biologiia -> muzyka = 24
biologiia -> karera = 32
biologiia -> voina = 22
biologiia -> moskva = 26
biologiia -> media = 21
biologiia -> otnosheniia = 16
biologiia -> obshchestvo = 19
biologiia -> moda = 19
biologiia -> transport = 14
biologiia -> finansy = 13
biologiia -> chto-pochitat = 11
biologiia -> aviatsiia = 18
biologiia -> avto = 13
biologiia -> dizain = 12
biologiia -> blizhnii-vostok = 9
biologiia -> dengi = 9
biologiia -> knigi = 9
biologiia -> diskriminatsiia = 10
biologiia -> rabota = 10
biologiia -> khristianstvo = 8
biologiia -> muzhchiny-i-zhenshchiny = 8
biologiia -> klassnaia-istoriia = 12
biologiia -> kriminal = 10
biologiia -> etiket = 17
biologiia -> arkhitektura = 13
biologiia -> liubov = 5
biologiia -> sssr = 9
biologiia -> diplomatiia = 9
biologiia -> islam = 8
biologiia -> ssha = 8
biologiia -> son = 8
biologiia -> non-fiction = 10
biologiia -> russkii-iazyk = 8
biologiia -> vselennaia = 5
biologiia -> kafe-i-restorany = 10
biologiia -> rynok = 7
biologiia -> debaty = 11
biologiia -> evropa = 7
biologiia -> liudi = 8
biologiia -> gender = 5
biologiia -> feminizm = 6
biologiia -> serialy = 8
biologiia -> urbanistika = 6
biologiia -> semia = 4
biologiia -> soznanie = 5
biologiia -> vysshee-obrazovanie = 6
biologiia -> daish = 5
biologiia -> astronomiia = 3
biologiia -> angliiskii-iazyk = 5
biologiia -> poeziia = 4
budushchee -> eda = 35
budushchee -> iazyk = 25
budushchee -> seks = 26
budushchee -> muzyka = 24
budushchee -> chelovek = 19
budushchee -> zhivotnye = 18
budushchee -> krasota = 23
budushchee -> otnosheniia = 16
budushchee -> obshchestvo = 19
budushchee -> moda = 19
budushchee -> sport = 15
budushchee -> transport = 14
budushchee -> khimiia = 14
budushchee -> chto-pochitat = 11
budushchee -> alkogol = 15
budushchee -> aviatsiia = 18
budushchee -> temy-net = 23
budushchee -> dizain = 12
budushchee -> fiziologiia = 9
budushchee -> dengi = 9
budushchee -> knigi = 9
budushchee -> diskriminatsiia = 10
budushchee -> rabota = 10
budushchee -> khristianstvo = 8
budushchee -> muzhchiny-i-zhenshchiny = 8
budushchee -> klassnaia-istoriia = 12
budushchee -> kriminal = 10
budushchee -> etiket = 17
budushchee -> arkhitektura = 13
budushchee -> liubov = 5
budushchee -> sssr = 9
budushchee -> islam = 8
budushchee -> ssha = 8
budushchee -> son = 8
budushchee -> non-fiction = 10
budushchee -> russkii-iazyk = 8
budushchee -> vselennaia = 5
budushchee -> kafe-i-restorany = 10
budushchee -> rynok = 7
budushchee -> evropa = 7
budushchee -> liudi = 8
budushchee -> gender = 5
budushchee -> feminizm = 6
budushchee -> serialy = 8
budushchee -> urbanistika = 6
budushchee -> semia = 4
budushchee -> soznanie = 5
budushchee -> vysshee-obrazovanie = 6
budushchee -> daish = 5
budushchee -> astronomiia = 3
budushchee -> angliiskii-iazyk = 5
budushchee -> poeziia = 4
internet -> eda = 35
internet -> telo = 33
internet -> nauka = 22
internet -> religiia = 27
internet -> fizika = 23
internet -> seks = 26
internet -> antropologiia = 26
internet -> chelovek = 19
internet -> voina = 22
internet -> moskva = 26
internet -> zhivotnye = 18
internet -> krasota = 23
internet -> teoriia-nauki = 18
internet -> deti = 23
internet -> otnosheniia = 16
internet -> kosmos = 19
internet -> geografiia = 25
internet -> sport = 15
internet -> transport = 14
internet -> khimiia = 14
internet -> zhizn = 19
internet -> chto-pochitat = 11
internet -> alkogol = 15
internet -> aviatsiia = 18
internet -> avto = 13
internet -> fiziologiia = 9
internet -> blizhnii-vostok = 9
internet -> diskriminatsiia = 10
internet -> khristianstvo = 8
internet -> muzhchiny-i-zhenshchiny = 8
internet -> klassnaia-istoriia = 12
internet -> arkhitektura = 13
internet -> liubov = 5
internet -> sssr = 9
internet -> diplomatiia = 9
internet -> islam = 8
internet -> ssha = 8
internet -> son = 8
internet -> non-fiction = 10
internet -> russkii-iazyk = 8
internet -> vselennaia = 5
internet -> kafe-i-restorany = 10
internet -> rynok = 7
internet -> debaty = 11
internet -> ekologiia = 12
internet -> evropa = 7
internet -> liudi = 8
internet -> gender = 5
internet -> feminizm = 6
internet -> serialy = 8
internet -> urbanistika = 6
internet -> semia = 4
internet -> soznanie = 5
internet -> vysshee-obrazovanie = 6
internet -> daish = 5
internet -> astronomiia = 3
internet -> angliiskii-iazyk = 5
internet -> poeziia = 4
filosofiia -> tekhnologii = 37
filosofiia -> eda = 35
filosofiia -> ekonomika = 27
filosofiia -> puteshestviia = 31
filosofiia -> seks = 26
filosofiia -> biznes = 29
filosofiia -> muzyka = 24
filosofiia -> karera = 32
filosofiia -> voina = 22
filosofiia -> moskva = 26
filosofiia -> media = 21
filosofiia -> zhivotnye = 18
filosofiia -> krasota = 23
filosofiia -> deti = 23
filosofiia -> geografiia = 25
filosofiia -> obshchestvo = 19
filosofiia -> moda = 19
filosofiia -> sport = 15
filosofiia -> transport = 14
filosofiia -> khimiia = 14
filosofiia -> finansy = 13
filosofiia -> chto-pochitat = 11
filosofiia -> alkogol = 15
filosofiia -> aviatsiia = 18
filosofiia -> avto = 13
filosofiia -> dizain = 12
filosofiia -> fiziologiia = 9
filosofiia -> blizhnii-vostok = 9
filosofiia -> dengi = 9
filosofiia -> diskriminatsiia = 10
filosofiia -> rabota = 10
filosofiia -> muzhchiny-i-zhenshchiny = 8
filosofiia -> klassnaia-istoriia = 12
filosofiia -> kriminal = 10
filosofiia -> etiket = 17
filosofiia -> arkhitektura = 13
filosofiia -> liubov = 5
filosofiia -> sssr = 9
filosofiia -> diplomatiia = 9
filosofiia -> islam = 8
filosofiia -> ssha = 8
filosofiia -> son = 8
filosofiia -> non-fiction = 10
filosofiia -> russkii-iazyk = 8
filosofiia -> kafe-i-restorany = 10
filosofiia -> rynok = 7
filosofiia -> ekologiia = 12
filosofiia -> evropa = 7
filosofiia -> gender = 5
filosofiia -> feminizm = 6
filosofiia -> serialy = 8
filosofiia -> urbanistika = 6
filosofiia -> semia = 4
filosofiia -> vysshee-obrazovanie = 6
filosofiia -> daish = 5
filosofiia -> astronomiia = 3
filosofiia -> angliiskii-iazyk = 5
filosofiia -> poeziia = 4
mozg -> eda = 35
mozg -> religiia = 27
mozg -> kino = 28
mozg -> ekonomika = 27
mozg -> pravo = 35
mozg -> puteshestviia = 31
mozg -> biznes = 29
mozg -> voina = 22
mozg -> moskva = 26
mozg -> media = 21
mozg -> krasota = 23
mozg -> otnosheniia = 16
mozg -> geografiia = 25
mozg -> obshchestvo = 19
mozg -> moda = 19
mozg -> sport = 15
mozg -> transport = 14
mozg -> zhizn = 19
mozg -> finansy = 13
mozg -> chto-pochitat = 11
mozg -> aviatsiia = 18
mozg -> avto = 13
mozg -> dizain = 12
mozg -> blizhnii-vostok = 9
mozg -> dengi = 9
mozg -> knigi = 9
mozg -> diskriminatsiia = 10
mozg -> rabota = 10
mozg -> khristianstvo = 8
mozg -> muzhchiny-i-zhenshchiny = 8
mozg -> klassnaia-istoriia = 12
mozg -> kriminal = 10
mozg -> etiket = 17
mozg -> arkhitektura = 13
mozg -> liubov = 5
mozg -> sssr = 9
mozg -> diplomatiia = 9
mozg -> islam = 8
mozg -> ssha = 8
mozg -> non-fiction = 10
mozg -> russkii-iazyk = 8
mozg -> vselennaia = 5
mozg -> kafe-i-restorany = 10
mozg -> rynok = 7
mozg -> debaty = 11
mozg -> ekologiia = 12
mozg -> evropa = 7
mozg -> liudi = 8
mozg -> gender = 5
mozg -> feminizm = 6
mozg -> serialy = 8
mozg -> urbanistika = 6
mozg -> semia = 4
mozg -> vysshee-obrazovanie = 6
mozg -> daish = 5
mozg -> astronomiia = 3
mozg -> angliiskii-iazyk = 5
mozg -> poeziia = 4
tekhnologii -> literatura = 30
tekhnologii -> eda = 35
tekhnologii -> sotsiologiia = 37
tekhnologii -> religiia = 27
tekhnologii -> pravo = 35
tekhnologii -> puteshestviia = 31
tekhnologii -> iazyk = 25
tekhnologii -> seks = 26
tekhnologii -> antropologiia = 26
tekhnologii -> mify = 34
tekhnologii -> chelovek = 19
tekhnologii -> zhivotnye = 18
tekhnologii -> krasota = 23
tekhnologii -> deti = 23
tekhnologii -> otnosheniia = 16
tekhnologii -> geografiia = 25
tekhnologii -> obshchestvo = 19
tekhnologii -> moda = 19
tekhnologii -> sport = 15
tekhnologii -> zhizn = 19
tekhnologii -> finansy = 13
tekhnologii -> chto-pochitat = 11
tekhnologii -> alkogol = 15
tekhnologii -> temy-net = 23
tekhnologii -> fiziologiia = 9
tekhnologii -> blizhnii-vostok = 9
tekhnologii -> dengi = 9
tekhnologii -> knigi = 9
tekhnologii -> diskriminatsiia = 10
tekhnologii -> rabota = 10
tekhnologii -> khristianstvo = 8
tekhnologii -> muzhchiny-i-zhenshchiny = 8
tekhnologii -> klassnaia-istoriia = 12
tekhnologii -> kriminal = 10
tekhnologii -> etiket = 17
tekhnologii -> liubov = 5
tekhnologii -> sssr = 9
tekhnologii -> diplomatiia = 9
tekhnologii -> islam = 8
tekhnologii -> ssha = 8
tekhnologii -> son = 8
tekhnologii -> non-fiction = 10
tekhnologii -> russkii-iazyk = 8
tekhnologii -> vselennaia = 5
tekhnologii -> kafe-i-restorany = 10
tekhnologii -> rynok = 7
tekhnologii -> debaty = 11
tekhnologii -> evropa = 7
tekhnologii -> liudi = 8
tekhnologii -> gender = 5
tekhnologii -> feminizm = 6
tekhnologii -> serialy = 8
tekhnologii -> semia = 4
tekhnologii -> soznanie = 5
tekhnologii -> vysshee-obrazovanie = 6
tekhnologii -> daish = 5
tekhnologii -> astronomiia = 3
tekhnologii -> angliiskii-iazyk = 5
tekhnologii -> poeziia = 4
literatura -> eda = 30
literatura -> telo = 30
literatura -> chto-budet-esli = 30
literatura -> nauka = 22
literatura -> fizika = 23
literatura -> pravo = 30
literatura -> puteshestviia = 30
literatura -> seks = 26
literatura -> antropologiia = 26
literatura -> chelovek = 19
literatura -> moskva = 26
literatura -> zhivotnye = 18
literatura -> krasota = 23
literatura -> teoriia-nauki = 18
literatura -> otnosheniia = 16
literatura -> kosmos = 19
literatura -> geografiia = 25
literatura -> obshchestvo = 19
literatura -> moda = 19
literatura -> sport = 15
literatura -> transport = 14
literatura -> khimiia = 14
literatura -> zhizn = 19
literatura -> finansy = 13
literatura -> alkogol = 15
literatura -> aviatsiia = 18
literatura -> temy-net = 23
literatura -> avto = 13
literatura -> dizain = 12
literatura -> fiziologiia = 9
literatura -> blizhnii-vostok = 9
literatura -> dengi = 9
literatura -> diskriminatsiia = 10
literatura -> rabota = 10
literatura -> khristianstvo = 8
literatura -> muzhchiny-i-zhenshchiny = 8
literatura -> klassnaia-istoriia = 12
literatura -> kriminal = 10
literatura -> etiket = 17
literatura -> arkhitektura = 13
literatura -> liubov = 5
literatura -> diplomatiia = 9
literatura -> islam = 8
literatura -> ssha = 8
literatura -> son = 8
literatura -> vselennaia = 5
literatura -> kafe-i-restorany = 10
literatura -> rynok = 7
literatura -> debaty = 11
literatura -> ekologiia = 12
literatura -> evropa = 7
literatura -> liudi = 8
literatura -> gender = 5
literatura -> feminizm = 6
literatura -> urbanistika = 6
literatura -> semia = 4
literatura -> soznanie = 5
literatura -> vysshee-obrazovanie = 6
literatura -> daish = 5
literatura -> astronomiia = 3
literatura -> angliiskii-iazyk = 5
kak-eto-rabotaet -> religiia = 27
kak-eto-rabotaet -> ekonomika = 27
kak-eto-rabotaet -> iazyk = 25
kak-eto-rabotaet -> seks = 26
kak-eto-rabotaet -> antropologiia = 26
kak-eto-rabotaet -> chelovek = 19
kak-eto-rabotaet -> voina = 22
kak-eto-rabotaet -> moskva = 26
kak-eto-rabotaet -> deti = 23
kak-eto-rabotaet -> geografiia = 25
kak-eto-rabotaet -> obshchestvo = 19
kak-eto-rabotaet -> moda = 19
kak-eto-rabotaet -> khimiia = 14
kak-eto-rabotaet -> finansy = 13
kak-eto-rabotaet -> chto-pochitat = 11
kak-eto-rabotaet -> dizain = 12
kak-eto-rabotaet -> fiziologiia = 9
kak-eto-rabotaet -> blizhnii-vostok = 9
kak-eto-rabotaet -> dengi = 9
kak-eto-rabotaet -> knigi = 9
kak-eto-rabotaet -> diskriminatsiia = 10
kak-eto-rabotaet -> khristianstvo = 8
kak-eto-rabotaet -> muzhchiny-i-zhenshchiny = 8
kak-eto-rabotaet -> klassnaia-istoriia = 12
kak-eto-rabotaet -> kriminal = 10
kak-eto-rabotaet -> etiket = 17
kak-eto-rabotaet -> arkhitektura = 13
kak-eto-rabotaet -> liubov = 5
kak-eto-rabotaet -> sssr = 9
kak-eto-rabotaet -> diplomatiia = 9
kak-eto-rabotaet -> islam = 8
kak-eto-rabotaet -> ssha = 8
kak-eto-rabotaet -> son = 8
kak-eto-rabotaet -> non-fiction = 10
kak-eto-rabotaet -> russkii-iazyk = 8
kak-eto-rabotaet -> vselennaia = 5
kak-eto-rabotaet -> kafe-i-restorany = 10
kak-eto-rabotaet -> rynok = 7
kak-eto-rabotaet -> debaty = 11
kak-eto-rabotaet -> ekologiia = 12
kak-eto-rabotaet -> evropa = 7
kak-eto-rabotaet -> liudi = 8
kak-eto-rabotaet -> gender = 5
kak-eto-rabotaet -> feminizm = 6
kak-eto-rabotaet -> serialy = 8
kak-eto-rabotaet -> urbanistika = 6
kak-eto-rabotaet -> semia = 4
kak-eto-rabotaet -> soznanie = 5
kak-eto-rabotaet -> vysshee-obrazovanie = 6
kak-eto-rabotaet -> daish = 5
kak-eto-rabotaet -> astronomiia = 3
kak-eto-rabotaet -> angliiskii-iazyk = 5
kak-eto-rabotaet -> poeziia = 4
eda -> sotsiologiia = 35
eda -> iskusstvo = 34
eda -> nauka = 22
eda -> religiia = 27
eda -> kino = 28
eda -> pravo = 35
eda -> seks = 26
eda -> muzyka = 24
eda -> karera = 32
eda -> voina = 22
eda -> media = 21
eda -> teoriia-nauki = 18
eda -> otnosheniia = 16
eda -> kosmos = 19
eda -> obshchestvo = 19
eda -> moda = 19
eda -> transport = 14
eda -> zhizn = 19
eda -> finansy = 13
eda -> chto-pochitat = 11
eda -> aviatsiia = 18
eda -> avto = 13
eda -> dizain = 12
eda -> fiziologiia = 9
eda -> blizhnii-vostok = 9
eda -> dengi = 9
eda -> knigi = 9
eda -> diskriminatsiia = 10
eda -> rabota = 10
eda -> khristianstvo = 8
eda -> muzhchiny-i-zhenshchiny = 8
eda -> klassnaia-istoriia = 12
eda -> kriminal = 10
eda -> arkhitektura = 13
eda -> liubov = 5
eda -> sssr = 9
eda -> diplomatiia = 9
eda -> islam = 8
